id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00003,Retrieval-Augmented Generation,Method,Raw / no canonical link,Concept,"AI, Collective Intelligence & Coordination",RAG,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00010,Open Machine,AI / coordination concept,https://x.com/i/status/2036916080514654465,Open Machine,"AI, Collective Intelligence & Coordination",AI,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00013,Cynefin,Complexity framework,https://cynefin.io/,The Cynefin Co.,"AI, Collective Intelligence & Sensemaking","complexity, sensemaking",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00082,Plurality Institute,Institute / community,https://plurality.institute/,Plurality Institute,"Civic Tech, Democracy & Pluralism","plurality, civic tech",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00157,Sociocracy 3.0,Framework,https://sociocracy30.org/,Sociocracy 3.0,Coordination & Governance,"sociocracy, consent, governance",Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00162,Commons Stack,Commons / mechanism org,https://www.commonsstack.org/,Commons Stack,Coordination & Governance,"commons, mechanisms",Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00163,Crypto Commons Association,Association / research,https://www.crypto-commons.org/,Crypto Commons,Coordination & Governance,crypto commons,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00169,Steward Ownership,Ownership model,https://purpose-economy.org/en/,Purpose Foundation,Coordination & Governance,mission ownership,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00177,Open Data Commons,Data licensing,https://opendatacommons.org/,Open Knowledge Foundation,Coordination & Governance,data commons,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00181,Regen Commons,Community,https://regencommons.com/,Regen Commons,Coordination & Governance,regenerative commons,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
