id,name,type,url,source_origin,signal_count,example_urls,candidate_status,review_status,notes
SSC00001,x.com,domain,,Twitter/X linked domain,197,http://x.com/i/article/2062883827601854464; http://x.com/i/article/2056505474695208960; http://x.com/i/article/2062126128483934208,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00002,paragraph.com,domain,,Twitter/X linked domain,33,https://paragraph.com/@holonic-horizons/frame-language-values-are-not-a-strategy?referrer=0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5; https://paragraph.com/durgadas.eth; https://paragraph.com/@holonic-horizons/social-architecture-series-part1-the-foundations-of-sustainable-organizations-four-batteries,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00003,open.substack.com,domain,,Twitter/X linked domain,6,https://open.substack.com/pub/abundances/p/building-a-21st-century-economy?utm_source=share&utm_medium=android&r=16vckg; https://open.substack.com/pub/commonplanet/p/nations-corporations-and-the-first; https://open.substack.com/pub/blockchaingov/p/the-blockchaingov-newsletter-28-december?r=2tiv4a&utm_campaign=post&utm_medium=web&showWelcomeOnShare=true,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00004,gov.gitcoin.co,domain,,Twitter/X linked domain,5,https://gov.gitcoin.co/t/gg23-predictive-funding-challenge-retrospective/25163; https://gov.gitcoin.co/t/proposal-gitcoin-x-octant-yield-powered-matching-pilot/25065; https://gov.gitcoin.co/t/proposal-gitcoin-x-octant-yield-powered-matching-for-gg25/24977,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00005,github.com,domain,,Twitter/X linked domain,4,https://github.com/ethereum/EIPs/pull/11762; https://github.com/robert-mcdermott/ai-knowledge-graph; https://github.com/coordination-structural-integrity-suite/suite,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00006,wiki.p2pfoundation.net,domain,,Twitter/X linked domain,4,https://wiki.p2pfoundation.net/Cosmo-Local_Intelligence; https://wiki.p2pfoundation.net/Special:RecentChanges; https://wiki.p2pfoundation.net/Ecological_State,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00007,carboncopy.news,domain,,Twitter/X linked domain,4,https://carboncopy.news/content/web3-tooling-series/the-recommendation; https://carboncopy.news/content/web3-tooling-series/the-experience; https://carboncopy.news/content/web3-tooling-series/the-data,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00008,explorer.gitcoin.co,domain,,Twitter/X linked domain,4,https://explorer.gitcoin.co/#/round/42161/867/128; https://explorer.gitcoin.co/#/round/42220/31/54; https://explorer.gitcoin.co/#/round/42220/31/54,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00009,medium.com,domain,,Twitter/X linked domain,3,https://medium.com/primedao/exploring-dao2dao-collaboration-mechanisms-c37218a17a21; https://medium.com/curator-multisig-phf-official-channel/thedao-curator-multisig-a-decade-later-572796549d70; https://medium.com/predict/from-code-to-coherence-0977dc80dd87,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00010,forms.gle,domain,,Twitter/X linked domain,3,https://forms.gle/JR1eoqQa6pwp3H6YA; https://forms.gle/ptMdrioiHnfsEFxCA; https://forms.gle/GCSrYqtKif961jc58,maybe,raw; needs review,Source-system candidate from repeated URL domain.
SSC00011,vitalik.eth.limo,domain,,Twitter/X linked domain,3,https://vitalik.eth.limo/general/2025/09/21/low_risk_defi.html; https://vitalik.eth.limo/general/2025/08/12/onlyopensource.html; https://vitalik.eth.limo/general/2026/04/02/secure_llms.html,maybe,raw; needs review,Source-system candidate from repeated URL domain.
