id,episode_or_recording,show_or_source,people,themes,source_detail,url,source_origin,review_status,public_use_status,suggested_toolkit_route
EP00001,Greenpill S10 Ep.6 - Vitalik Buterin: Public Goods Funding in 2026,Greenpill Podcast,"Vitalik Buterin, Kevin Owocki, Devansh Mehta","Public goods funding, Ethereum builders",Greenpill YouTube/Apple listing; web verified,https://www.youtube.com/@Green_Pill_Podcast,web_verified; adjacent_expansion,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00002,Greenpill S10 Ep.10 - AI Agents on Ethereum with Austin Griffith & Zak Cole,Greenpill Podcast,"Austin Griffith, Zak Cole, Kevin Owocki","AI agents, OpenClaw, Ethereum builder tooling",PlayPodcasts listing / Greenpill episode lead,https://playpodcasts.com/podcasts/greenpill,web_verified; adjacent_expansion,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00003,The Regeneration Will Be Funded - Nature on the Balance Sheet,The Regeneration Will Be Funded,Martin Stuchtey,"Landbanking, nature on balance sheet, nature finance",Apple listing lead,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; adjacent_expansion,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00004,The Regeneration Will Be Funded - Forward Carbon Financing,The Regeneration Will Be Funded,Rez / Solid World,Forward carbon financing,Apple listing lead,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; adjacent_expansion,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00005,The Regeneration Will Be Funded - The Problem with Net Zero,The Regeneration Will Be Funded,Paul Gambill / Nori,"Net zero critique, carbon removal",Apple listing lead,https://podcasts.apple.com/us/podcast/the-regeneration-will-be-funded/id1706728107,web_verified; adjacent_expansion,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00006,Crypto Altruists Episode 250 - The Quiet Revolution,Crypto Altruists,Drew Simon,Crypto as humanitarian infrastructure,Apple listing lead,https://podcasts.apple.com/pg/podcast/crypto-altruists-real-world-stories-of-social/id1628620328,web_verified; adjacent_expansion,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00007,Crypto Altruists - Bioregional Reforestation,Crypto Altruists,Bioregional Reforestation round guests,Bioregional reforestation and web3 impact,Podcast synthesis sample lead,,podcast_synthesis,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00008,Crypto Altruists - Commitment Pooling,Crypto Altruists,Grassroots Economics / Sarafu context,"Commitment pooling, community currencies",Podcast synthesis sample lead,,podcast_synthesis,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00009,Crypto Altruists - Savings Circles,Crypto Altruists,Grassroots Economics / community finance context,Savings circles and local finance,Podcast synthesis sample lead,,podcast_synthesis,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00010,Greenpill - Network Nations / Regen Network of Networks,Greenpill Podcast,Network Nations guests,"Network nations, coordination, localism",Podcast synthesis sample lead,,podcast_synthesis,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00011,Greenpill - Technologies Grown from Dirt,Greenpill Podcast,Ethereal Forest / localism guests,"Ecology, low-tech, resilience, localism",Podcast synthesis sample lead,,podcast_synthesis,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
EP00012,Greenpill - Metrics-Based Voting on RPGF Round 4,Greenpill Podcast,RetroPGF / Optimism context,Metrics-based voting and retro funding,Podcast synthesis sample lead,,podcast_synthesis,raw; needs verification,list with caveat,Media Source System Track; Implementation Memory
