id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00081,Raw URL lead - youtube.com,Tool / protocol / platform,https://www.youtube.com/@Green_Pill_Podcast,,"AI, Collective Intelligence & Sensemaking","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context: urce systems were identified. 7.1 GreenPill Podcast Links: https://podcasts.apple.com/us/podcast/greenpill/id1609313639 https://www.youtube.com/@Green_Pill_Podcast https://pod.link/1609313639 Current status: Apple Podcasts works and confirms show metadata. YouTube and pod.link did n
E00103,NetX State,Community / media,https://netxstate.substack.com/,NetX State,"Civic Tech, Localism & Network States",localism,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00119,Crypto Altruists Web3 Impact Toolkit,Impact toolkit / media resource,https://cryptoaltruism.org/,Crypto Altruists,"Community Building, Events & Networks","web3 impact, media",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00143,X Space lead - 1lDxLBVOPomGm,Media / call / space,https://x.com/i/spaces/1lDxLBVOPomGm,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @OSObserver: Today's OSO reading group will cover the a16z State of Crypto 2025 report! 

Set your reminder: https://t.co/tO4kptDrs6

Or…"
E00144,X Space lead - 1mnGeNDEZnLJX,Media / call / space,https://x.com/i/spaces/1mnGeNDEZnLJX,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @OSObserver: https://t.co/btjzIZ1swv
E00145,X Space lead - 1YpKkkpEwZdKj,Media / call / space,https://x.com/i/spaces/1YpKkkpEwZdKj,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @OSObserver: https://t.co/Hh4dGXN8d3
E00146,X Space lead - 1yxBeMMjgzMJN,Media / call / space,https://x.com/i/spaces/1yxBeMMjgzMJN,,"Community Building, Events & Networks","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @OSObserver: https://t.co/LK8wFmdV2V
E00287,Guiding Question YouTube Playlist,YouTube playlist,https://www.youtube.com/watch?v=JsXcufk1km4&list=PLRSlwLW1riHMzDQErGIjENI3ZJERMGf_p,Unknown,"Culture, Narrative & Movement Building",guiding question,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00399,Open Civics Recordings,Media,Raw / no canonical link,Open Civics,"Events, Conferences & Learning Communities",civic tech,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00516,Raw URL lead - podcasts.apple.com,Tool / protocol / platform,https://podcasts.apple.com/us/podcast/greenpill/id1609313639,,"Funding, Capital Flows & Public Goods","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,3,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Preserved from uploaded documents/text. Context: narrative archives - GreenPill Podcast - regenerative crypto, public goods, mechanism design, Ethereum coordination - https://podcasts.apple.com/us/podcast/greenpill/id1609313639 - Crypto Altruists Podcast - web3 impact, ReFi, humanitarian aid, DeSci, public goods - https://www.cryptoaltruists.com | ast and media source systems Three important podcast/media source systems were identified. 7.1 Gree"
