id,url,domain,tweet_url_count,tweet_id_examples,source_origin,notes
URL00001,http://forum.regen.network,forum.regen.network,2,"2014751594378649668, 1981058297563402482",Twitter/X archive,raw URL signal; not endorsement
URL00002,https://paragraph.com/@greenpill/q1-2025-laying-the-groundwork,paragraph.com,2,"1923389830047625296, 1918673757876437242",Twitter/X archive,raw URL signal; not endorsement
URL00003,https://explorer.gitcoin.co/#/round/42161/867/128,explorer.gitcoin.co,2,"1911841520551895176, 1909664599471014133",Twitter/X archive,raw URL signal; not endorsement
URL00004,https://explorer.gitcoin.co/#/round/42220/31/54,explorer.gitcoin.co,2,"1911841520551895176, 1909664599471014133",Twitter/X archive,raw URL signal; not endorsement
URL00005,http://x.com/i/article/2062883827601854464,x.com,1,2063662021040570708,Twitter/X archive,raw URL signal; not endorsement
URL00006,http://x.com/i/article/2056505474695208960,x.com,1,2062601212642341032,Twitter/X archive,raw URL signal; not endorsement
URL00007,https://github.com/ethereum/EIPs/pull/11762,github.com,1,2062543631626489940,Twitter/X archive,raw URL signal; not endorsement
URL00008,http://x.com/i/article/2062126128483934208,x.com,1,2062543572285493747,Twitter/X archive,raw URL signal; not endorsement
URL00009,http://x.com/i/article/2061996825691967488,x.com,1,2062543490236506507,Twitter/X archive,raw URL signal; not endorsement
URL00010,https://hashcloak.com/blog/how-ethereum-plans-to-replace-bls-with-post-quantum-signatures,hashcloak.com,1,2062543181435044298,Twitter/X archive,raw URL signal; not endorsement
URL00011,http://x.com/i/article/2060390400083496960,x.com,1,2061514148572262799,Twitter/X archive,raw URL signal; not endorsement
URL00012,http://x.com/i/article/2058853605004988416,x.com,1,2061514060147925437,Twitter/X archive,raw URL signal; not endorsement
URL00013,http://x.com/i/article/2060105581072171009,x.com,1,2061513867755147723,Twitter/X archive,raw URL signal; not endorsement
URL00014,https://ethresear.ch/t/building-index-tracking-assets-on-top-of-options-instead-of-debt/25036,ethresear.ch,1,2061513766085202313,Twitter/X archive,raw URL signal; not endorsement
URL00015,http://x.com/i/article/2061141171511107584,x.com,1,2061513141125538007,Twitter/X archive,raw URL signal; not endorsement
URL00016,http://x.com/i/article/2061437516650020864,x.com,1,2061512895075086419,Twitter/X archive,raw URL signal; not endorsement
URL00017,http://x.com/i/article/2060348097738293253,x.com,1,2060405569073119581,Twitter/X archive,raw URL signal; not endorsement
URL00018,http://x.com/i/article/2059273350539857920,x.com,1,2060405522214383985,Twitter/X archive,raw URL signal; not endorsement
URL00019,http://x.com/i/article/2054512447411654656,x.com,1,2055040568724423109,Twitter/X archive,raw URL signal; not endorsement
URL00020,https://paragraph.com/@holonic-horizons/frame-language-values-are-not-a-strategy?referrer=0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,paragraph.com,1,2054234171732533394,Twitter/X archive,raw URL signal; not endorsement
URL00021,https://www.ethereumlocalism.xyz/knowledge-garden/resources/Ethereum-Localism-Registry,ethereumlocalism.xyz,1,2036406462679773673,Twitter/X archive,raw URL signal; not endorsement
URL00022,https://thelivinglib.org/how-ai-could-restore-trust-in-democratic-governance/,thelivinglib.org,1,2036087803633672422,Twitter/X archive,raw URL signal; not endorsement
URL00023,http://x.com/i/article/2035067501277847552,x.com,1,2035202702410473632,Twitter/X archive,raw URL signal; not endorsement
