person_id,name_or_handle,known_name,x_handle,source_origin,source_detail,known_affiliation,mentioned_in_podcast_synthesis,mentioned_in_twitter,twitter_mention_count,twitter_retweet_count,associated_orgs_projects,associated_topics,associated_tools_protocols,possible_role,bridge_signal,reviewer_candidate,guest_candidate,person_node_caution,public_use_status,review_status,notes
P00001,'@Crypto_Altruism,Crypto Altruists,'@Crypto_Altruism,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,53,51,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00002,'@OctantApp,Octant,'@OctantApp,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,38,22,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00003,'@BlockchainGov,BlockchainGov,'@BlockchainGov,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,34,34,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00004,'@owocki,owockai,'@owocki,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,34,23,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00005,'@mbauwens,Michel Bauwens,'@mbauwens,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,34,31,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00006,'@CC_ReFi_News,CARBON Copy ReFi,'@CC_ReFi_News,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,34,26,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00007,'@PluralityInst,Plurality.Institute,'@PluralityInst,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,32,31,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00008,'@gitcoin,Gitcoin,'@gitcoin,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,25,11,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00009,'@JoinEdgeCity,Edge City,'@JoinEdgeCity,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,23,21,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00010,'@VitalikButerin,vitalik.eth,'@VitalikButerin,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,23,18,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00011,'@omniharmonic,Benjamin Life (re/acc),'@omniharmonic,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,23,20,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00012,'@regen_network,Regen Network,'@regen_network,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,23,17,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00013,'@durgadasjii,durgadas.eth,'@durgadasjii,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,22,21,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00014,'@ethereum,Ethereum,'@ethereum,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,22,13,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
P00015,'@cognitivepolicy,Joe Brewer,'@cognitivepolicy,Twitter/X archive,mentioned/retweeted account,,TRUE,TRUE,19,19,,,,social signal source; possible person/org account lead,,,,TRUE,list with caveat,raw social signal; not endorsement,Raw account signal from archive. Frequency does not imply quality or endorsement.
