id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00045,URL lead - decentralizedthoughts.github.io,Resource / lead,https://decentralizedthoughts.github.io/,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @soubhik_deb: I have to say, I need to say that with the decentralized thoughts blog (https://t.co/Yv4lvldFKQ),  @kartik1507, @ittaia an…"
E00068,Raw URL lead - github.com,Repository / code / standards,https://github.com/gaiaaiagent/greenpaper,,"AI, Collective Intelligence & Sensemaking","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context:
E00079,Raw URL lead - wisecubeai.github.io,Resource / lead,https://wisecubeai.github.io/graphster/,,"AI, Collective Intelligence & Sensemaking","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context:
E00175,Metagov GitHub,GitHub org,https://github.com/metagov,Metagov,Coordination & Governance,governance tooling,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00214,URL lead - github.com,Repository / code / standards,https://github.com/coordination-structural-integrity-suite/suite,,Coordination & Governance,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @durgadasjii: https://t.co/hvMKmJa6mh I worked on these during the weekend. Now with an AI helper to help you make sense of them and app…
E00215,URL lead - github.com,Repository / code / standards,https://github.com/durgadasji/standards,,Coordination & Governance,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @durgadasjii: https://t.co/lpaa8d8iER My version 2.0 release of these standards. If you want a better approach to your organization, you…"
E00263,Raw URL lead - github.com,Repository / code / standards,https://github.com/greenpill-dev-guild/coop,,Coordination & Governance,"raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,4,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Preserved from uploaded documents/text. Context: ttps://greenpill.network/ - GreenPill Dev Guild / Greenpill Writers Guild - technical and writing source-system leads - https://github.com/greenpill-dev-guild/coop - ReFi DAO - regenerative finance network, localism, education, ecosystem mapping - https://refidao.com/ - Bloom Networ"
E00304,EIPs,Standards repository,https://eips.ethereum.org/,Ethereum,"Ethereum, Web3 Infrastructure & Security","ethereum, standards",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00354,URL lead - github.com,Repository / code / standards,https://github.com/ethereum/EIPs/pull/11762,,"Ethereum, Web3 Infrastructure & Security","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @ethresearchbot: New EIP!

pERC20 - Privacy-Native Fungible Tokens

🔗 https://t.co/gi69qSed0M

Highlights:
- Not ERC-20 compatible by de…"
E00482,Raw URL lead - bioregionalknowledgecommons.github.io,Repository / code / standards,https://bioregionalknowledgecommons.github.io/roadmap/,,"Funding, Capital Flows & Public Goods","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context: candidate - https://github.com/BioregionalKnowledgeCommons/Octo - BKC Roadmap - bioregional knowledge commons roadmap - https://bioregionalknowledgecommons.github.io/roadmap/ - SuperBenefit Knowledge Garden - adjacent knowledge garden and public goods/regenerative web3 source - https://knowled
E00505,Raw URL lead - github.com,Repository / code / standards,https://github.com/allo-protocol,,"Funding, Capital Flows & Public Goods","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context:
E00530,Raw URL lead - github.com,Repository / code / standards,https://github.com/microsoft/graphrag,,"Impact, MRV & Accountability","raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context:
E00575,Nerd DAO Forkable Mind Map,GitHub notes,https://github.com/Ataxia123/Notes,Nerd DAO / Ataxia123,Knowledge Commons & Ontologies,mind map,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
