id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00001,Collective Intelligence Project,Research org,https://www.cip.org/,CIP,"AI, Collective Intelligence & Coordination",collective intelligence,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00004,Civic AI,Civic AI org,https://civic.ai/,Civic AI,"AI, Collective Intelligence & Coordination",civic AI,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00006,Bonfires AI X thread,Social / raw,https://x.com/bonfiresai/status/2027556089139515888?s=20,Bonfires AI,"AI, Collective Intelligence & Coordination",AI,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00007,Gaia AI X thread 1,Social / raw,https://x.com/reslashacc/status/2029650740424364261,Gaia AI / reslashacc,"AI, Collective Intelligence & Coordination",AI,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00008,Gaia AI X thread 2,Social / raw,https://x.com/zaldarren/status/2028973515463065883,Gaia AI / zaldarren,"AI, Collective Intelligence & Coordination",AI,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00012,Gaia AI,AI project,Raw / no canonical link,Gaia AI,"AI, Collective Intelligence & Coordination",AI,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00044,URL lead - davidphelps.substack.com,Organization / initiative,https://davidphelps.substack.com/p/persuasion-markets-a-manifesto,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @divine_economy: @0xNairolf don’t forget persuasion markets

https://t.co/ZxpM6RhBlq"
E00047,URL lead - frontiersin.org,Organization / initiative,https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2021.577680/full,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @tecmns: @drozas @samerP2P Read the full article here: https://t.co/STBbvths0g
E00048,URL lead - frontiersin.org,Organization / initiative,https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2025.1564083/full,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @tecmns: Read the full study here: https://t.co/tegQ4tgKw6
E00055,URL lead - resilience.org,Organization / initiative,https://www.resilience.org/stories/2026-02-03/when-infrastructure-falls-apart-living-systems-take-over/,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @gen_ukraine: When Infrastructure Falls Apart, Living Systems Take Over https://t.co/OWoade7kV3 #ecovillages"
