id,extracted_type,name,source_detail,source_origin,themes,notes
PX00001,person,Kevin Owocki,Greenpill Podcast host; field bridge,explicit_podcast_synthesis,public goods; mechanism design; regenerative crypto,raw extraction from podcast synthesis summary
PX00002,person,Carl Cervone,Hypercerts / retro funding bridge,explicit_podcast_synthesis,hypercerts; impact claims; retroactive funding,raw extraction from podcast synthesis summary
PX00003,person,Devansh Mehta,Greenpill co-host / public goods discussions,twitter_and_podcast_signal,public goods; podcasts; Ethereum,raw extraction from podcast synthesis summary
PX00004,person,Glen Weyl,"Plurality, quadratic funding, civic tech",explicit_podcast_synthesis,plurality; democracy; QF,raw extraction from podcast synthesis summary
PX00005,person,Audrey Tang,Plurality and civic tech reference,explicit_podcast_synthesis,civic tech; public AI; democracy,raw extraction from podcast synthesis summary
PX00006,person,Primavera De Filippi,Blockchain governance / commons,explicit_podcast_synthesis,governance; law; commons,raw extraction from podcast synthesis summary
PX00007,person,Felix Beer,Referenced with governance / coordination context,explicit_podcast_synthesis,governance; Ethereum,raw extraction from podcast synthesis summary
PX00008,person,Trent Van Epps,Ethereum governance / public goods,explicit_podcast_synthesis,Ethereum; governance,raw extraction from podcast synthesis summary
PX00009,person,Boris Dyakov,Governance / coordination signal,explicit_podcast_synthesis,governance; Ethereum,raw extraction from podcast synthesis summary
PX00010,person,Daniel Ospina,Organization design and governance,explicit_podcast_synthesis,governance; org design,raw extraction from podcast synthesis summary
PX00011,person,Jon Hillis,Localism and network communities,explicit_podcast_synthesis,localism; network states,raw extraction from podcast synthesis summary
PX00012,person,Ameen Soleimani,Moloch / coordination / Ethereum public goods,explicit_podcast_synthesis,Ethereum; DAOs,raw extraction from podcast synthesis summary
PX00013,person,Matthew Monahan,Host/publisher in podcast source system,explicit_podcast_synthesis,regenerative finance; podcast; bioregions,raw extraction from podcast synthesis summary
PX00014,person,Gregory Landua,Regenerative economics and bioregional finance,explicit_podcast_synthesis,ReFi; bioregionalism; eight forms of capital,raw extraction from podcast synthesis summary
PX00015,person,Austin Wade Smith,Bioregional finance bridge,explicit_podcast_synthesis,bioregional finance; ReFi,raw extraction from podcast synthesis summary
PX00016,person,Will Ruddick,Community currencies and commitment pooling,explicit_podcast_synthesis,community currencies; mutual credit; Sarafu,raw extraction from podcast synthesis summary
PX00017,person,Atossa Soltani,Indigenous and ecological protection context,explicit_podcast_synthesis,Indigenous stewardship; rights of nature,raw extraction from podcast synthesis summary
PX00018,person,Tom Crowther,Restoration and ecology reference,explicit_podcast_synthesis,ecology; restoration science,raw extraction from podcast synthesis summary
PX00019,person,Erin Matariki Carr,Indigenous knowledge and land governance signal,explicit_podcast_synthesis,Indigenous knowledge; rights of nature,raw extraction from podcast synthesis summary
PX00020,person,Samantha Power,Philanthropy / aid context reference,explicit_podcast_synthesis,aid; philanthropy,raw extraction from podcast synthesis summary
PX00021,person,Erin Healy,Regenerative finance / land stewardship signal,explicit_podcast_synthesis,ReFi; ecology,raw extraction from podcast synthesis summary
PX00022,person,Tiffany Pyette,Regenerative finance / ecological stewardship signal,explicit_podcast_synthesis,ReFi; ecology,raw extraction from podcast synthesis summary
PX00023,person,Uyunkar Domingo Peas,Indigenous stewardship primary voice signal,explicit_podcast_synthesis,Indigenous stewardship; Amazon,raw extraction from podcast synthesis summary
PX00024,person,Cassandra Lynn Ferrera,Commons and land-based practice,explicit_podcast_synthesis,commons; land; regeneration,raw extraction from podcast synthesis summary
PX00025,person,Brandon Welch,Regeneration and ecosystem finance signal,explicit_podcast_synthesis,regeneration; finance,raw extraction from podcast synthesis summary
PX00026,person,Justin Winters,Climate philanthropy / One Earth,explicit_podcast_synthesis,climate; philanthropy,raw extraction from podcast synthesis summary
