tweet_id,created_at,retweeted_from,mentioned_accounts,expanded_urls,hashtags,language,inferred_category,full_text,routing_notes
2063662095950831899,46180.69396990741,'@alexsotodigital,"'@alexsotodigital, @ShutterNetwork, @OctantApp",,,en,"Funding, Capital Flows & Public Goods","RT @alexsotodigital: The Minimum Viable Institution:

•@ShutterNetwork's PEN → capital allocation through periodic stewardship
•@OctantApp…","Raw social curation signal; treat as lead, not endorsement."
2063662068025172336,46180.69388888889,'@josancamon19,"'@josancamon19, @akorinek",,,en,"AI, Collective Intelligence & Sensemaking","RT @josancamon19: post AGI classics to read during the weekend:

- Scenarios for the transition to AGI @akorinek
- The Intelligence Curse b…","Raw social curation signal; treat as lead, not endorsement."
2063662021040570708,46180.693761574075,'@arkreen_network,'@arkreen_network,http://x.com/i/article/2062883827601854464,,zxx,Raw Leads / To Review,RT @arkreen_network: https://t.co/mSYowhA9dK,"Raw social curation signal; treat as lead, not endorsement."
2063655685699580083,46180.67627314815,'@CryptoStatuette,'@CryptoStatuette,,,en,"Impact, MRV & Accountability",RT @CryptoStatuette: Appreciation Post: 🙏 Data scientists are the unsung heroes who rarely get the spotlight for the vital work they do. Th…,"Raw social curation signal; treat as lead, not endorsement."
2062601212642341032,46177.766493055555,'@kennyistyping,'@kennyistyping,http://x.com/i/article/2056505474695208960,,zxx,Raw Leads / To Review,RT @kennyistyping: https://t.co/pDKb5ki1CT,"Raw social curation signal; treat as lead, not endorsement."
2062543631626489940,46177.60759259259,'@ethresearchbot,'@ethresearchbot,https://github.com/ethereum/EIPs/pull/11762,,en,"Ethereum, Web3 Infrastructure & Security","RT @ethresearchbot: New EIP!

pERC20 - Privacy-Native Fungible Tokens

🔗 https://t.co/gi69qSed0M

Highlights:
- Not ERC-20 compatible by de…","Raw social curation signal; treat as lead, not endorsement."
2062543572285493747,46177.60743055555,'@wmougayar,'@wmougayar,http://x.com/i/article/2062126128483934208,,zxx,Raw Leads / To Review,RT @wmougayar: https://t.co/9hWQ3hd2iE,"Raw social curation signal; treat as lead, not endorsement."
2062543490236506507,46177.607199074075,'@JoinEdgeCity,'@JoinEdgeCity,http://x.com/i/article/2061996825691967488,,zxx,Raw Leads / To Review,RT @JoinEdgeCity: https://t.co/cBnk1CQ1dL,"Raw social curation signal; treat as lead, not endorsement."
2062543181435044298,46177.606354166666,'@tcoratger,"'@tcoratger, @hashcloak",https://hashcloak.com/blog/how-ethereum-plans-to-replace-bls-with-post-quantum-signatures,,en,"Regeneration, Ecology & Localism","RT @tcoratger: How Ethereum plans to replace BLS with Post-Quantum signatures by @hashcloak 

https://t.co/12wqb3X9lN","Raw social curation signal; treat as lead, not endorsement."
2062542957274628357,46177.605729166666,'@techandsunhub,'@techandsunhub,,,en,"AI, Collective Intelligence & Sensemaking","RT @techandsunhub: Tas Hub Unizik Impact Update (May 2026)

With a capacity of 12 seats, we run two 4-hour sessions daily (10am-2pm &amp; 2pm-6…","Raw social curation signal; treat as lead, not endorsement."
2062542897430384960,46177.60556712963,'@FundingCommons,'@FundingCommons,,,en,"Funding, Capital Flows & Public Goods","RT @FundingCommons: Our new governance report is live.

We gave six communities money, total freedom, and an AI that could spend it for the…","Raw social curation signal; treat as lead, not endorsement."
2062542805411467604,46177.6053125,'@PluralityInst,'@PluralityInst,,,en,Coordination & Governance,"RT @PluralityInst: New Book out now: ""Finding Light Through the Cracks"" Reinventing Democracy with Audrey Tang by Martin Rausch with Tom At…","Raw social curation signal; treat as lead, not endorsement."
2062542774264648116,46177.60523148148,'@Crypto_Altruism,'@Crypto_Altruism,,,en,"Civic Tech, Democracy & Pluralism","RT @Crypto_Altruism: Crypto regulation in Europe is evolving and your input can shape it. 🌍 

The EU just opened a public consultation on M…","Raw social curation signal; treat as lead, not endorsement."
2061519202054250959,46174.780706018515,'@dankrad,'@dankrad,,,en,"Ethereum, Web3 Infrastructure & Security","RT @dankrad: Are passkeys actually like a hardware wallet built into your phone? I'm afraid not
(They are still pretty useful for quickly c…","Raw social curation signal; treat as lead, not endorsement."
