global_id,name,primary_type,tab_location,toolkit_route,source_origin,review_status,notes
IDX00001,'@Crypto_Altruism,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=53; retweet_count=51
IDX00002,'@OctantApp,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=38; retweet_count=22
IDX00003,'@BlockchainGov,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=34; retweet_count=34
IDX00004,'@owocki,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=34; retweet_count=23
IDX00005,'@mbauwens,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=34; retweet_count=31
IDX00006,'@CC_ReFi_News,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=34; retweet_count=26
IDX00007,'@PluralityInst,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=32; retweet_count=31
IDX00008,'@gitcoin,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=25; retweet_count=11
IDX00009,'@JoinEdgeCity,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=23; retweet_count=21
IDX00010,'@VitalikButerin,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=23; retweet_count=18
IDX00011,'@omniharmonic,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=23; retweet_count=20
IDX00012,'@regen_network,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=23; retweet_count=17
IDX00013,'@durgadasjii,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=22; retweet_count=21
IDX00014,'@ethereum,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=22; retweet_count=13
IDX00015,'@cognitivepolicy,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=19; retweet_count=19
IDX00016,'@wor,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=19; retweet_count=18
IDX00017,'@Giveth,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=19; retweet_count=16
IDX00018,'@greenpilldevs,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=18; retweet_count=12
IDX00019,'@EtherealnewsHQ,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=17; retweet_count=17
IDX00020,'@LBorreani,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=16; retweet_count=14
IDX00021,'@breadcoop,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=16; retweet_count=12
IDX00022,'@owockibot,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=15; retweet_count=15
IDX00023,'@EFDevcon,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=13; retweet_count=0
IDX00024,'@tecmns,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=13; retweet_count=13
IDX00025,'@samflan,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=12; retweet_count=12
IDX00026,'@exeuntdoteth,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=12; retweet_count=10
IDX00027,'@devanshmehta,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=12; retweet_count=10
IDX00028,'@DisruptionJoe,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=11; retweet_count=11
IDX00029,'@ethereumboulder,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=11; retweet_count=5
IDX00030,'@FundingCommons,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=10; retweet_count=6
IDX00031,'@regenavocado,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=10; retweet_count=10
IDX00032,'@papa_raw,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=10; retweet_count=8
IDX00033,'@RohitMalekar,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=10; retweet_count=9
IDX00034,'@ethereumfndn,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=10; retweet_count=2
IDX00035,'@web3privacy,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=9
IDX00036,'@MCSocialVenture,person/account,People & Accounts,Social Signal Review,Twitter/X archive,raw social signal; not endorsement,mention_count=9; retweet_count=6
