priority,article,objects,types_present,has_claim_evidence,has_public_use_boundary,thinned,reviewer,decision(PROMOTE|FIX|HOLD),privacy_gate(PASS|FAIL),date,notes
1,what-is-blockchain.md,13,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,treasury-management.md,10,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource; signal",true,true,false,,,,,
1,what-is-refi.md,10,"blog; claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource; signal",true,true,false,,,,,
1,building-founding-team.md,9,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,first-90-days.md,9,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource; track",true,true,false,,,,,
1,giveth-donations.md,9,"claim-evidence; concept-lineage; docs-site; public-use-boundary; resource; signal",true,true,false,,,,,
1,minimum-viable-node.md,9,"claim-evidence; concept-lineage; public-use-boundary; resource; signal; track",true,true,false,,,,,
1,why-measurement-matters.md,9,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource; signal",true,true,false,,,,,
1,building-trust.md,8,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,gitcoin-grants-qf.md,8,"claim-evidence; concept-lineage; docs-site; encyclopedia-entry; public-use-boundary; resource; signal",true,true,false,,,,,
1,funding-landscape.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,governance-mechanism-design.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,silvi-protocol.md,7,"claim-evidence; concept-lineage; database; docs-site; public-use-boundary; resource; signal",true,true,false,,,,,
1,stories-regens-leap.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource; signal",true,true,false,,,,,
1,tax-implications.md,7,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,gatherings-pattern.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,inclusive-practices.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; signal",true,true,false,,,,,
1,legal-structures.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,local-currency.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; resource; signal",true,false,true,,,,,
1,recovery-planning.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,setting-up-first-wallet.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,what-is-local-node.md,6,"claim-evidence; concept-lineage; directory; encyclopedia-entry; public-use-boundary",true,true,false,,,,,
1,what-web3-can-cant-do.md,6,"blog; claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,writing-grant-proposals.md,6,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary; resource",true,true,false,,,,,
1,common-pitfalls.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; forum; resource",true,false,true,,,,,
1,compliance-legal.md,5,"claim-evidence; concept-lineage; encyclopedia-entry; public-use-boundary",true,true,false,,,,,
