id,name,type,url,source_origin,route,notes,review_status
TC00001,Carl Cervone,person,,explicit_podcast_synthesis,People/Account Review,Hypercerts / retro funding bridge,raw; needs review
TC00002,Glen Weyl,person,,explicit_podcast_synthesis,People/Account Review,"Plurality, quadratic funding, civic tech",raw; needs review
TC00003,Austin Griffith,person,,adjacent_expansion,People/Account Review,Ethereum builder tooling,raw; needs review
TC00004,Zak Cole,person,,adjacent_expansion,People/Account Review,Builder tooling / AI agents context,raw; needs review
TC00005,Juan Benet,person,,adjacent_expansion,People/Account Review,Public goods funding / decentralized storage,raw; needs review
TC00006,Scott Moore,person,,adjacent_expansion,People/Account Review,Public goods funding / Gitcoin,raw; needs review
TC00007,URL lead - paragraph.com,Organizations Network,https://paragraph.com/@greenpilldevguild/greenwill-powering-governance-through-reputation-tracking,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: RT @greenpilldevs: Part 4 🌱 GreenWill - Powering Governance Through Reputation Tracking

🔗 https://t.co/2ooeRRdspx

The next piece of the r…",raw; needs review
TC00008,Ethereum Foundation ESP,Funding Mechanisms Capital Flow,https://esp.ethereum.foundation/,resource_registry_v0_2,Resource Graph,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated.",raw; needs review
TC00009,Obol,Funding Mechanisms Capital Flow,https://obol.org/,resource_registry_v0_2,Resource Graph,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated.",raw; needs review
TC00010,Lido Impact Staking,Funding Mechanisms Capital Flow,https://x.com/impactstake,resource_registry_v0_2,Resource Graph,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement.",raw; needs review
TC00011,Funding the Commons,Funding Mechanisms Capital Flow,https://fundingthecommons.io/,resource_registry_v0_2,Resource Graph,,raw; needs review
TC00012,Schelling Point,Funding Mechanisms Capital Flow,https://schellingpoint.gitcoin.co/,resource_registry_v0_2,Resource Graph,,raw; needs review
TC00013,URL lead - bloomnetwork.earth,Tools Protocols Platform,http://bloomnetwork.earth,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: RT @mbauwens: Retroactive public funding rewards the people who have already done the work:

* Bloom Network,

https://t.co/OhgRtaxPYz

 is…",raw; needs review
TC00014,URL lead - carboncopy.news,Tools Protocols Platform,https://carboncopy.news/content/web3-tooling-series/the-experience,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: Getting locals to use web3 tools is hard because much can go wrong; funding loss, tooling abandonment, complexity fatigue - you name it.

This article, second in the series, shares how ReFi communities navigate these issues.  

Have a delightful read.

https://t.co/jA2yxnfQmx htt",raw; needs review
TC00015,URL lead - gov.gitcoin.co,Tools Protocols Platform,https://gov.gitcoin.co/t/gg23-predictive-funding-challenge-retrospective/25163,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: RT @VitalikButerin: Deep funding is continuing, and recently finished a major round!

https://t.co/Pp5lyW6EDE

I think my main advice to @d…",raw; needs review
TC00016,URL lead - hackmd.io,Tools Protocols Platform,https://hackmd.io/@Carboclanc/SJFYXKt_ex,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: RT @theobtl: Find all links and resources around the Ethereum Research Funding Forum New York 2025 here:
https://t.co/zIdnk6EX2p",raw; needs review
TC00017,URL lead - mountainjournal.org,Tools Protocols Platform,https://mountainjournal.org/wildlife-crossings-could-see-permanent-federal-funding-through-bipartisan-bill-introduced-by-zinke-and-beyer/,resource_registry_v0_2,Resource Graph,Auto-extracted URL lead from Twitter archive. Context: RT @tmoindustries: Wildlife Crossings Could See Permanent Federal Funding Through Bipartisan Bill - Mountain Journal https://t.co/pF0PT4XzhS,raw; needs review
TC00018,URL lead - paragraph.com,Tools Protocols Platform,https://paragraph.com/@holonic-horizons/beyond-funding-web3s-real-coordination-crisis-and-the-paradoxes-were-ignoring,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: RT @durgadasjii: https://t.co/eCDRx4jCtF My latest post on Web3, funding, and coordination.",raw; needs review
TC00019,URL lead - x.com,Tools Protocols Platform,https://x.com/GreenpillWrites/status/2015695327731302766,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: Getting locals to use web3 tools is hard because much can go wrong; funding loss, tooling abandonment, complexity fatigue - you name it.

This article, second in the series, shares how ReFi communities navigate these issues.  

Have a delightful read.

https://t.co/jA2yxnfQmx htt",raw; needs review
TC00020,Raw URL lead - breadchain.xyz,Tools Protocols Platform,https://breadchain.xyz/,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: ion / funding governance lead - https://gardens.fund/ - Bread Cooperative - solidarity crypto and distribution cycles - https://breadchain.xyz/ - Grassroots Economics / Sarafu - commitment pooling, community currencies, local finance - https://www.grassrootsecono",raw; needs review
TC00021,Raw URL lead - docs.gap.karmahq.xyz,Tools Protocols Platform,https://docs.gap.karmahq.xyz/,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: tive funding leads - https://docs.hypercerts.org/ - Karma GAP - grantee accountability and milestone/progress updates - https://docs.gap.karmahq.xyz/ ### Knowledge gardens, ontology, and source-system peers - Knowledge Commoning Swarm - broader knowledge commons coll | ts - structured impact records - https://docs.hypercerts.org/ - Karma GAP - grant accountability and progress records - https://do",raw; needs review
TC00022,Raw URL lead - docs.hypercerts.org,Tools Protocols Platform,https://docs.hypercerts.org/,resource_registry_v0_2,Resource Graph,Preserved from uploaded documents/text. Context: exchange platform - https://sarafu.network/ - Hypercerts - structured impact records and retrospective funding leads - https://docs.hypercerts.org/ - Karma GAP - grantee accountability and milestone/progress updates - https://docs.gap.karmahq.xyz/ ### Knowledge gard | attest.org/ - EAS Explorer - schemas and attestations - https://easscan.org/ - Hypercerts - structured impact records - https://doc,raw; needs review
TC00023,Raw URL lead - forum.giveth.io,Tools Protocols Platform,https://forum.giveth.io/,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: - Giveth - donations, QF, causes, project pages - https://giveth.io/ - Giveth Forum - project and governance archive - https://forum.giveth.io/ - Octant - public goods funding and yield-based allocation system - https://octant.build/ - Octant v2 docs - funding mo | Coordination Hub — https://hub.regencoordination.xyz/ Gitcoin Governance Forum — https://gov.gitcoin.co/ Giveth Forum — https://forum.",raw; needs review
TC00024,Raw URL lead - forum.sky.money,Tools Protocols Platform,https://forum.sky.money/,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: ic goods ecosystem governance - https://forum.celo.org/ - Maker / Sky Governance Forum - governance / treasury source - https://forum.sky.money/ - Protocol Guild - Ethereum commons funding context - https://protocol-guild.readthedocs.io/ ### Identity, attestation | magicians.org/ ethresear.ch — https://ethresear.ch/ Celo Forum — https://forum.celo.org/ Maker / Sky Governance Forum — https://forum.",raw; needs review
