id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00011,Bonfires AI,AI tool / project,https://bonfires.ai/,Bonfires AI,"AI, Collective Intelligence & Coordination",AI coordination,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00041,URL lead - americamagazine.org,Tool / protocol / platform,https://www.americamagazine.org/faithinfocus/2026/01/09/monastery-quiet-sustainability/,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @ntnsndr: Thanks to @americamag for this essay on the @us_trappists monastery that changed my life: https://t.co/U8TvfBeDFx
E00046,URL lead - ensurance.app,Tool / protocol / platform,https://ensurance.app/guide/why-ai-agents-need-ensurance,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @tmoindustries: ""why ai agents need ensurance"" 

 https://t.co/P4SntIzQJX"
E00049,URL lead - grokipedia.com,Tool / protocol / platform,https://grokipedia.com/page/DeSci_Asia,,"AI, Collective Intelligence & Sensemaking","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @swiftevo1: AI application case study - Grok &amp; Grokipedia

https://t.co/Thv9eE5tT5

As the founder of @DeSciAsia , i chat with @grok, se…"
E00083,Consul Democracy,Participatory democracy platform,https://consuldemocracy.org/,Consul,"Civic Tech, Democracy & Pluralism","civic tech, participation",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00084,Decidim,Participatory democracy platform,https://decidim.org/,Decidim,"Civic Tech, Democracy & Pluralism","civic tech, participation",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00085,Polis,Deliberation / opinion mapping tool,https://pol.is/home,Pol.is,"Civic Tech, Democracy & Pluralism","deliberation, democracy",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00086,Loomio,Collaborative decision-making tool,https://www.loomio.com/,Loomio,"Civic Tech, Democracy & Pluralism","governance, decisions",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00111,GeoDe Labs,Mapping / location project,https://x.com/geodelabs/status/2040163152722047193,GeoDe Labs,"Civic Tech, Localism & Network States",location,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00121,_gabrielShapir0,Twitter/X account / social signal source,https://x.com/lex_node,'@lex_node,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00154,Platform Cooperativism Consortium,Research / movement,https://platform.coop/,The New School,Coordination & Governance,"cooperatives, platform ownership",Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
