id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00021,"Devcon 8 | Mumbai, India 🇮🇳",Twitter/X account / social signal source,https://x.com/EFDevcon,'@EFDevcon,"AI, Collective Intelligence & Sensemaking","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,13,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00097,Collaborative Finance,Community / event,https://collaborative-finance.net/,Collaborative Finance,"Civic Tech, Localism & Network States",collaborative finance,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00098,Crypto Commons Gathering,Event,https://cryptocommonsgather.ing/,Crypto Commons,"Civic Tech, Localism & Network States",crypto commons,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00099,Edge City,Pop-up city,https://www.edgecity.live/,Edge City,"Civic Tech, Localism & Network States",popup city,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00105,Valley of the Commons,Community / event,https://www.valleyofthecommons.com/,Valley of the Commons,"Civic Tech, Localism & Network States",commons,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00106,Zuzalu,Pop-up city,https://zuzalu.city/,Zuzalu,"Civic Tech, Localism & Network States",popup city,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00115,Bloom Network,Network / community,https://bloomnetwork.org/,Bloom Network,"Community Building, Events & Networks","localism, regeneration, community",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00117,OpenCivics,Civic infrastructure network,https://opencivics.co/,OpenCivics,"Community Building, Events & Networks","civic, commons, knowledge",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00118,ReFi DAO,Network / community,https://www.refidao.com/,ReFi DAO,"Community Building, Events & Networks","refi, network, regeneration",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00120,Ethereum Localism Registry,Registry / knowledge garden,https://www.ethereumlocalism.xyz/knowledge-garden/resources/Ethereum-Localism-Registry,Ethereum Localism,"Community Building, Events & Networks","ethereum localism, registry",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00122,Bloom Network,Twitter/X account / social signal source,https://x.com/OurBloomNetwork,'@OurBloomNetwork,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,6,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00123,Edge City,Twitter/X account / social signal source,https://x.com/JoinEdgeCity,'@JoinEdgeCity,"Community Building, Events & Networks","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,23,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
