id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00308,Ethereum Foundation ESP,Ecosystem Support Program,https://esp.ethereum.foundation/,Ethereum Foundation,"Ethereum, Web3 Infrastructure & Security","ethereum, grants",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00311,Obol,Distributed validator technology,https://obol.org/,Obol Collective,"Ethereum, Web3 Infrastructure & Security","staking, validators",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E00332,Lido Impact Staking,Twitter/X account / social signal source,https://x.com/impactstake,'@impactstake,"Ethereum, Web3 Infrastructure & Security","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00389,Funding the Commons,Conference,https://fundingthecommons.io/,Funding the Commons,"Events, Conferences & Learning Communities",public goods funding,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00394,Schelling Point,Event,https://schellingpoint.gitcoin.co/,Gitcoin,"Events, Conferences & Learning Communities",public goods,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00887,GoodDollar 💙🌏,Twitter/X account / social signal source,https://x.com/gooddollarorg,'@gooddollarorg,Raw Leads / To Review,"twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E01466,Sarafu / Grassroots Economics,Community currency,https://www.grassrootseconomics.org/,Grassroots Economics,"ReFi, Localism & Regenerative Crypto",mutual credit,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01471,Citizen Wallet,Wallet,https://citizenwallet.xyz/,Citizen Wallet,"ReFi, Localism & Regenerative Crypto",local currency,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01530,Grassroots Economics,Community currencies / Sarafu,https://www.grassecon.org/,Grassroots Economics,"Regeneration, Ecology & Localism","sarafu, community currencies",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E01533,Sarafu Network,Community currency network,https://sarafu.network/,Grassroots Economics,"Regeneration, Ecology & Localism","community currency, vouchers",AI-expanded / project-context lead,Creative expansion from project context and social-signal clusters,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated."
E01590,URL lead - sarafu.network,Organization / initiative,http://sarafu.network,,"Regeneration, Ecology & Localism","twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted URL lead from Twitter archive. Context: RT @mbauwens: Will Ruddick argues, and shows, through practice in the https://t.co/kyK2lnCikg , that

* Through Cosmo-Local Credit,

""the c…"
E01678,Circles,Community currency,https://www.aboutcircles.com/,Circles,"Web3, Ethereum & Mechanism Design",mutual credit,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01687,Deep Funding,Funding program,https://deepfunding.ai/,Deep Funding,"Web3, Ethereum & Mechanism Design",AI funding,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01725,Kevin Owocki,Tier-1 bridge figure,Raw / no canonical link,Gitcoin / Greenpill / Supermodular,Bridge Figures & Guest Network Leads,"Gitcoin, Greenpill, QF, public goods funding",Podcast synthesis,Media source-system synthesis,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Podcast synthesis identifies this person/org as a bridge, guest lead, or cross-pollination node. Treat as social/source-system signal; do not treat as public person profile without review."
E01728,Will Ruddick,Tier-1 bridge figure,Raw / no canonical link,Grassroots Economics / Sarafu,Bridge Figures & Guest Network Leads,"commitment pooling, community asset vouchers, local economies",Podcast synthesis,Media source-system synthesis,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Podcast synthesis identifies this person/org as a bridge, guest lead, or cross-pollination node. Treat as social/source-system signal; do not treat as public person profile without review."
M00016,Quadratic Funding,funding mechanism,,,,public goods funding,resource_seed; adjacent_expansion,manual adjacent expansion,,resource_seed; adjacent_expansion,raw; needs verification,list with caveat,Option Library,Funding mechanism emphasizing breadth of support
M00017,Retroactive Public Goods Funding,funding mechanism,,,,retro funding,resource_seed; adjacent_expansion,manual adjacent expansion,,resource_seed; adjacent_expansion,raw; needs verification,list with caveat,Option Library,Rewarding contributions after impact is observed
M00018,Optimism Retro Funding,funding program,https://community.optimism.io/docs/governance/retropgf/,,,retro funding; Optimism,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Implementation Memory,Major RetroPGF implementation context
M00019,Hypercerts marketplaces,funding/impact mechanism,https://docs.hypercerts.org/,,,impact claims,resource_seed; podcast_synthesis,manual adjacent expansion,,resource_seed; podcast_synthesis,raw; needs verification,list with caveat,Option Library,Claims about impact and retro funding markets
M00020,Octant-style yield funding,funding mechanism,https://octant.build/,,,yield; public goods,resource_seed; twitter_signal,manual adjacent expansion,,resource_seed; twitter_signal,raw; needs verification,list with caveat,Option Library,ETH staking/yield-based public goods distribution
M00021,Public goods staking,funding mechanism,,,,public goods funding,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Option Library,Using staking yield for public goods funding
M00022,Commitment pooling,funding/community mechanism,,,,community currencies,podcast_synthesis,manual adjacent expansion,,podcast_synthesis,raw; needs verification,list with caveat,Option Library,Grassroots Economics / Sarafu-adjacent pooling of commitments
M00023,Community Asset Vouchers,local finance mechanism,,,,local finance; community currencies,podcast_synthesis,manual adjacent expansion,,podcast_synthesis,raw; needs verification,list with caveat,Option Library,Grassroots Economics / Sarafu adjacent local exchange instrument
M00024,Mutual credit,economic mechanism,,,,solidarity economy; community currencies,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Concept/Option,Local exchange and credit system
M00025,Conviction voting,governance/funding mechanism,,,,governance; funding,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Option Library,Time-weighted preference signaling / allocation
M00026,Sociocracy consent,governance mechanism,https://sociocracy30.org/,,,governance,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Option Library,Consent-based governance practice
M00027,Advice process,governance mechanism,,,,governance; org design,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Option Library,Distributed decision-making process
M00028,Steward ownership,ownership model,https://purpose-economy.org/en/,,,ownership; governance,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Option Library,Purpose Foundation / ownership model
M00029,Participatory budgeting,governance/funding mechanism,,,,governance; funding,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Option Library,Community allocation mechanism
M00030,MACI-based private voting,governance/privacy mechanism,https://maci.pse.dev/,,,privacy; voting,adjacent_expansion,manual adjacent expansion,,adjacent_expansion,raw; needs verification,list with caveat,Option Library,Privacy/collusion resistance for voting/funding
