id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E00114,Utopia Map,Map,Raw / no canonical link,Utopia Map,"Civic Tech, Localism & Network States",localism map,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E00182,AgroforestDAO,Twitter/X account / social signal source,https://x.com/agroforestDAO,'@agroforestDAO,Coordination & Governance,"twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,4,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00904,Heatmap News,Twitter/X account / social signal source,https://x.com/heatmap_news,'@heatmap_news,Raw Leads / To Review,"twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E00957,Let the people map 📲 🗺️ 🌍🫡,Twitter/X account / social signal source,https://x.com/OpenLitterMap,'@OpenLitterMap,Raw Leads / To Review,"twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,3,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E01397,Raw URL lead - maplibre.org,Organization / initiative,https://maplibre.org/,,Raw Leads / To Review,"raw-url, preserve-not-lose",Raw URL preservation,Extracted from provided docs/texts,2,resource_registry_v0_2,raw,list with caveat,Resource Registry,Preserved from uploaded documents/text. Context:
E01469,Carbon Copy,ReFi publication,https://carboncopy.news/refi/projects,Carbon Copy,"ReFi, Localism & Regenerative Crypto",ReFi directory,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01470,Carbon Copy ReFi Projects,Directory,https://carboncopy.news/refi/projects,Carbon Copy,"ReFi, Localism & Regenerative Crypto",ReFi projects,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01472,Climate Collective Web3 Climate Map,Ecosystem map,https://kumu.io/climate-collective/web3-climate-map#main,Climate Collective / Kumu,"ReFi, Localism & Regenerative Crypto",ReFi map,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01473,Regen Atlas,Map,https://www.regenatlas.xyz/,Regen Atlas,"ReFi, Localism & Regenerative Crypto",regen map,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01475,GainForest,Forest tech,https://gainforest.earth/,GainForest,"ReFi, Localism & Regenerative Crypto",forest MRV,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01478,Agroforest DAO,DAO / project,Raw / no canonical link,Agroforest DAO,"ReFi, Localism & Regenerative Crypto",agroforestry,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01536,GainForest.Earth,Twitter/X account / social signal source,https://x.com/GainForestNow,'@GainForestNow,"Regeneration, Ecology & Localism","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,6,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E01552,Regen Atlas,Twitter/X account / social signal source,https://x.com/theregenatlas,'@theregenatlas,"Regeneration, Ecology & Localism","twitter, x, curation-signal",Twitter/X social signal,Mentioned in uploaded tweets.js,3,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement."
E01667,Ethereum Page,Directory,https://ethereumpage.com/,Ethereum ecosystem,"Web3, Ethereum & Mechanism Design",Ethereum directory,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01686,DAOscope,DAO directory,https://x.com/DAOscope,DAOscope,"Web3, Ethereum & Mechanism Design",DAO discovery,Provided resource seed,Markdown resource table,,resource_registry_v0_2,raw,list with caveat,Resource Registry,
E01734,David Dao,Tier-1 bridge figure,Raw / no canonical link,GainForest,Bridge Figures & Guest Network Leads,"GainForest, dMRV, forest monitoring",Podcast synthesis,Media source-system synthesis,,resource_registry_v0_2,raw,list with caveat,Resource Registry,"Podcast synthesis identifies this person/org as a bridge, guest lead, or cross-pollination node. Treat as social/source-system signal; do not treat as public person profile without review."
E00017,Global Forest Watch,dataset/map,https://www.globalforestwatch.org/,,,forests; remote sensing,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Datasets/Maps,Forest monitoring
E00018,GBIF,dataset,https://www.gbif.org/,,,biodiversity; data,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Datasets/Maps,Biodiversity data
E00019,OpenStreetMap,map/dataset,https://www.openstreetmap.org/,,,maps; open data,resource_seed,manual adjacent expansion,,resource_seed,raw; needs verification,list with caveat,Datasets/Maps,Open map data
