id,name,type,url,source_origin,route,notes,review_status
OC00001,Ethereum Foundation ESP,Funding Mechanisms Capital Flow,https://esp.ethereum.foundation/,resource_registry_v0_2,Resource Graph,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated.",raw; needs review
OC00002,Obol,Funding Mechanisms Capital Flow,https://obol.org/,resource_registry_v0_2,Resource Graph,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated.",raw; needs review
OC00003,Lido Impact Staking,Funding Mechanisms Capital Flow,https://x.com/impactstake,resource_registry_v0_2,Resource Graph,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement.",raw; needs review
OC00004,Raw URL lead - block.science,Tools Protocols Platform,https://block.science/,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: g research and tooling - https://www.tokenengineeringlabs.com/ - BlockScience - complex systems and token engineering - https://block.science/ - Mechanism Design for Social Good - mechanism design research - https://www.md4sg.com/ ### Ethereum, protocol, and pu",raw; needs review
OC00005,Funding the Commons,Funding Mechanisms Capital Flow,https://fundingthecommons.io/,resource_registry_v0_2,Resource Graph,,raw; needs review
OC00006,Schelling Point,Funding Mechanisms Capital Flow,https://schellingpoint.gitcoin.co/,resource_registry_v0_2,Resource Graph,,raw; needs review
OC00007,Raw URL lead - forum.celo.org,Tools Protocols Platform,https://forum.celo.org/,resource_registry_v0_2,Resource Graph,Preserved from uploaded documents/text. Context: - mechanism governance context - https://forum.tecommons.org/ - Celo Forum - ReFi / public goods ecosystem governance - https://forum.celo.org/ - Maker / Sky Governance Forum - governance / treasury source - https://forum.sky.money/ - Protocol Guild - Ethereum co | trum.foundation/ Ethereum Magicians — https://ethereum-magicians.org/ ethresear.ch — https://ethresear.ch/ Celo Forum — https://forum.,raw; needs review
OC00008,Raw URL lead - forum.tecommons.org,Tools Protocols Platform,https://forum.tecommons.org/,resource_registry_v0_2,Resource Graph,Preserved from uploaded documents/text. Context: ntity/name governance - https://discuss.ens.domains/ - Token Engineering Commons Forum - mechanism governance context - https://forum.tecommons.org/ - Celo Forum - ReFi / public goods ecosystem governance - https://forum.celo.org/ - Maker / Sky Governance Forum - gove | rum — https://forum.celo.org/ Maker / Sky Governance Forum — https://forum.sky.money/ Token Engineering Commons Forum — https://f,raw; needs review
OC00009,Raw URL lead - hub.regencoordination.xyz,Tools Protocols Platform,https://hub.regencoordination.xyz/,resource_registry_v0_2,Resource Graph,Preserved from uploaded documents/text. Context: l as lower-priority historical/mechanism reference Important forum/governance archive surfaces Regen Coordination Hub — https://hub.regencoordination.xyz/ Gitcoin Governance Forum — https://gov.gitcoin.co/ Giveth Forum — https://forum.giveth.io/ Regen Network / Regen Founda,raw; needs review
OC00010,Raw URL lead - podcasts.apple.com,Podcasts Media Show,https://podcasts.apple.com/us/podcast/greenpill/id1609313639,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: narrative archives - GreenPill Podcast - regenerative crypto, public goods, mechanism design, Ethereum coordination - https://podcasts.apple.com/us/podcast/greenpill/id1609313639 - Crypto Altruists Podcast - web3 impact, ReFi, humanitarian aid, DeSci, public goods - https://www.cryptoaltruists.com | ast and media source systems Three important podcast/media source systems were identified. 7.1 Gree",raw; needs review
OC00011,Raw URL lead - theblockchainsocialist.com,Tools Protocols Platform,https://theblockchainsocialist.com/,resource_registry_v0_2,Resource Graph,"Preserved from uploaded documents/text. Context: altruists.com/podcasts - The Blockchain Socialist - crypto-left, cooperative crypto, public AI, Fileverse, Bread Coop - https://theblockchainsocialist.com/ - Funding the Commons talks - public goods funding and mechanism design source. - The Daily Gwei - Ethereum education a | nge. Routing: Source System Candidate / Podcast Archive / Web3 Impact Case Library. 7.3 The Blockchain Socialist Links: ht",raw; needs review
OC00012,Raw URL lead - discuss.ens.domains,Concepts Frameworks Methodologie,https://discuss.ens.domains/,resource_registry_v0_2,Resource Graph,Preserved from uploaded documents/text. Context: e Forum - ecosystem governance - https://forum.arbitrum.foundation/ - ENS Governance Forum - identity/name governance - https://discuss.ens.domains/ - Token Engineering Commons Forum - mechanism governance context - https://forum.tecommons.org/ - Celo Forum - ReFi / p | Forum — https://forum.sky.money/ Token Engineering Commons Forum — https://forum.tecommons.org/ ENS Governance Forum — https://di,raw; needs review
OC00013,Raw URL lead - tokenengineeringlabs.com,Tools Protocols Platform,https://www.tokenengineeringlabs.com/,resource_registry_v0_2,Resource Graph,Preserved from uploaded documents/text. Context: ng community - https://tokenengineeringcommons.org/ - Token Engineering Labs - token engineering research and tooling - https://www.tokenengineeringlabs.com/ - BlockScience - complex systems and token engineering - https://block.science/ - Mechanism Design for Social Good - me,raw; needs review
OC00014,GoodDollar 💙🌏,Funding Mechanisms Capital Flow,https://x.com/gooddollarorg,resource_registry_v0_2,Resource Graph,"Auto-extracted account lead from Twitter archive. Counts are mention/retweet signals, not endorsement.",raw; needs review
OC00015,Sarafu / Grassroots Economics,Funding Mechanisms Capital Flow,https://www.grassrootseconomics.org/,resource_registry_v0_2,Resource Graph,,raw; needs review
OC00016,Citizen Wallet,Funding Mechanisms Capital Flow,https://citizenwallet.xyz/,resource_registry_v0_2,Resource Graph,,raw; needs review
OC00017,Grassroots Economics,Funding Mechanisms Capital Flow,https://www.grassecon.org/,resource_registry_v0_2,Resource Graph,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated.",raw; needs review
OC00018,Sarafu Network,Funding Mechanisms Capital Flow,https://sarafu.network/,resource_registry_v0_2,Resource Graph,"Added as a reviewable expansion lead; verify fit, URL, and priority before treating as curated.",raw; needs review
OC00019,URL lead - sarafu.network,Funding Mechanisms Capital Flow,http://sarafu.network,resource_registry_v0_2,Resource Graph,"Auto-extracted URL lead from Twitter archive. Context: RT @mbauwens: Will Ruddick argues, and shows, through practice in the https://t.co/kyK2lnCikg , that

* Through Cosmo-Local Credit,

""the c…",raw; needs review
OC00020,Circles,Funding Mechanisms Capital Flow,https://www.aboutcircles.com/,resource_registry_v0_2,Resource Graph,,raw; needs review
OC00021,Deep Funding,Funding Mechanisms Capital Flow,https://deepfunding.ai/,resource_registry_v0_2,Resource Graph,,raw; needs review
OC00022,Greenpill Podcast,Podcasts Media Show,https://greenpill.network/,resource_registry_v0_2,Resource Graph,"~293 episodes; strong on Ethereum public goods, mechanism design, network nations, Greenpill chapters. Needs review for RSS/canonical link.",raw; needs review
OC00023,Kevin Owocki,Funding Mechanisms Capital Flow,Raw / no canonical link,resource_registry_v0_2,Resource Graph,"Podcast synthesis identifies this person/org as a bridge, guest lead, or cross-pollination node. Treat as social/source-system signal; do not treat as public person profile without review.",raw; needs review
OC00024,Will Ruddick,Funding Mechanisms Capital Flow,Raw / no canonical link,resource_registry_v0_2,Resource Graph,"Podcast synthesis identifies this person/org as a bridge, guest lead, or cross-pollination node. Treat as social/source-system signal; do not treat as public person profile without review.",raw; needs review
OC00025,Protocol Guild,funding mechanism/organization,https://protocol-guild.readthedocs.io/,resource_seed,Source System Candidate,Ethereum core protocol funding commons,raw; needs review
OC00026,Drips,funding protocol,https://www.drips.network/,adjacent_expansion,Option Library,Open-source funding and dependency graph funding,raw; needs review
OC00027,Commons Stack,organization/framework,https://www.commonsstack.org/,resource_seed,Source System Card,Commons mechanism design and TEC context,raw; needs review
OC00028,Token Engineering Commons,community/network,https://tokenengineeringcommons.org/,resource_seed; twitter_signal,Source System Candidate,Token engineering and mechanism design community,raw; needs review
OC00029,Govbase,pattern library,https://govbase.io/,resource_seed,Option Library; Source System,Governance pattern library,raw; needs review
